Code : Position
36 : -1
17 : -1
26 : -1
0 : 2
39 : -1
0 : 3
39 : -1
0 : 4
39 : -1
0 : 6
6 : -1
0 : 0
19 : -1
29 : -1
21 : -1
23 : -1
1 : 0
23 : -1
22 : -1
19 : -1
30 : -1
21 : -1
0 : 7
22 : -1
19 : -1
29 : -1
21 : -1
23 : -1
1 : 1
23 : -1
22 : -1
19 : -1
30 : -1
21 : -1
0 : 8
22 : -1
19 : -1
29 : -1
21 : -1
23 : -1
1 : 2
23 : -1
22 : -1
19 : -1
30 : -1
21 : -1
0 : 19
22 : -1
19 : -1
31 : -1
21 : -1
0 : 17
10 : -1
0 : 18
34 : -1
0 : 17
10 : -1
0 : 19
22 : -1
17 : -1
0 : 16
6 : -1
0 : 17
19 : -1
18 : -1
32 : -1
17 : -1
31 : -1
21 : -1
0 : 18
10 : -1
0 : 17
34 : -1
0 : 18
10 : -1
0 : 19
22 : -1
17 : -1
0 : 16
6 : -1
0 : 18
19 : -1
18 : -1
32 : -1
17 : -1
0 : 16
6 : -1
0 : 19
19 : -1
18 : -1
18 : -1
19 : -1
